sourceMac,typeNr,subTypeNr,seqNr,retryFlag,measurementTimestamp,droneId,signal
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136407778,Oscar,-57
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136407779,Hotel,-68
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136407784,Papa,-60
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136407788,Oscar,-59
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136407788,November,-68
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136407789,Hotel,-67
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136407789,India,-66
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136407794,Papa,-60
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136407796,Romeo,-75
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136407796,Mike,-82
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136407797,Lima,-62
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136407798,November,-65
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136407799,India,-64
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,12,0,1423136407805,Quebec,-60
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136407806,Romeo,-76
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136407815,Quebec,-60
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,268,0,1423136407856,Kilo,-79
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136407967,Oscar,-64
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136407968,Hotel,-69
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136407973,Papa,-67
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136407976,Lima,-53
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136407977,November,-70
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3340,0,1423136407977,Oscar,-61
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136407978,India,-70
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3340,0,1423136407978,Hotel,-69
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3340,0,1423136407984,Papa,-70
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136407985,Romeo,-88
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136407985,Mike,-81
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3340,0,1423136407986,Lima,-52
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3340,0,1423136407988,November,-75
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3340,0,1423136407989,India,-69
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136407993,Quebec,-56
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3340,0,1423136407995,Mike,-80
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3340,0,1423136407996,Romeo,-84
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136408347,Kilo,-82
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3340,0,1423136408409,Quebec,-55
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3340,0,1423136408453,Kilo,-82
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2828,0,1423136452767,Hotel,-65
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2828,0,1423136452767,Oscar,-59
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2828,0,1423136452773,Papa,-47
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2828,0,1423136452775,Lima,-60
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136452777,Hotel,-67
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3084,0,1423136452777,Oscar,-60
